Motion Database Converter
  Frame 512: 29.96/81.05
  Frame 513: 29.94/81.01
  Frame 514: 29.91/81.00
  Frame 515: 29.90/80.96
  Frame 516: 29.92/80.76
  Frame 517: 29.91/81.00
  Frame 518: 29.93/80.82
  Frame 519: 29.94/80.90
  Frame 520: 29.93/80.99
  Frame 521: 29.97/80.98
  Frame 522: 29.94/81.07
  Frame 523: 29.97/81.07
  Frame 524: 29.96/80.88
  Frame 525: 29.98/80.94
  Frame 526: 29.98/80.92
  Frame 527: 30.01/80.82
  Frame 528: 30.03/80.70
  Frame 529: 30.00/80.82
  Frame 530: 30.00/80.93
  Frame 531: 30.02/80.91
  Frame 532: 30.04/80.90
  Frame 533: 30.04/80.95
  Frame 534: 30.06/81.00
  Frame 535: 30.02/81.12
  Frame 536: 30.03/81.19
  Frame 537: 30.07/81.18
  Frame 538: 30.05/81.21
  Frame 539: 30.05/81.28
  Frame 540: 30.06/81.28
  Frame 541: 30.07/81.38
  Frame 542: 30.07/81.39
  Frame 543: 30.06/81.39
  Frame 544: 30.06/81.47
  Frame 545: 30.04/81.57
  Frame 546: 30.04/81.70
  Frame 547: 30.04/81.89
  Frame 548: 30.05/81.99
  Frame 549: 30.05/82.17
  Frame 550: 30.08/82.39
  Frame 551: 30.10/82.62
  Frame 552: 30.12/82.90
  Frame 553: 30.16/83.04
  Frame 554: 30.23/83.29
  Frame 555: 30.25/83.66
  Frame 556: 30.32/84.03
  Frame 557: 30.32/84.38
  Frame 558: 30.34/84.48
  Frame 559: 30.36/84.72
  Frame 560: 30.41/84.83
  Frame 561: 30.42/85.02
  Frame 562: 30.41/85.03
  Frame 563: 30.35/84.73
  Frame 564: 30.37/84.79
  Frame 565: 30.38/84.54
  Frame 566: 30.39/84.79
  Frame 567: 30.40/84.38
  Frame 568: 30.38/84.18
  Frame 569: 30.35/84.08
  Frame 570: 30.34/83.98
  Frame 571: 30.28/84.06
  Frame 572: 30.32/84.34
  Frame 573: 30.26/84.01
  Frame 574: 30.27/84.19
  Frame 575: 30.25/84.20
  Frame 576: 30.25/84.47
  Frame 577: 30.23/84.52
  Frame 578: 30.20/84.56
  Frame 579: 30.19/84.44
  Frame 580: 30.19/84.42
  Frame 581: 30.17/84.56
  Frame 582: 30.17/84.48
  Frame 583: 30.15/84.52
  Frame 584: 30.15/84.52
  Frame 585: 30.13/84.65
  Frame 586: 30.12/84.74
  Frame 587: 30.12/84.84
  Frame 588: 30.13/84.86
  Frame 589: 30.13/84.92
  Frame 590: 30.13/84.97
  Frame 591: 30.13/85.04
  Frame 592: 30.13/85.04
  Frame 593: 30.14/85.03
  Frame 594: 30.12/85.06
  Frame 595: 30.12/85.10
  Frame 596: 30.13/85.16
  Frame 597: 30.13/85.27
  Frame 598: 30.12/85.44
  Frame 599: 30.14/85.54
  Frame 600: 30.13/85.75
  Frame 601: 30.14/85.84
  Frame 602: 30.14/86.02
  Frame 603: 30.15/86.13
  Frame 604: 30.15/86.35
  Frame 605: 30.16/86.59
  Frame 606: 30.16/86.79
  Frame 607: 30.16/87.03
  Frame 608: 30.17/87.28
  Frame 609: 30.17/87.55
  Frame 610: 30.18/87.81
  Frame 611: 30.18/88.13
  Frame 612: 30.18/88.20
  Frame 613: 30.18/88.41
  Frame 614: 30.18/88.43
  Frame 615: 30.19/88.81
  Frame 616: 30.18/88.88
  Frame 617: 30.19/89.19
  Frame 618: 30.19/89.44
  Frame 619: 30.22/89.60
  Frame 620: 30.20/89.35
  Frame 621: 30.21/89.36
  Frame 622: 30.21/89.60
  Frame 623: 30.22/89.63
  Frame 624: 30.23/89.64
  Frame 625: 30.26/89.75
  Frame 626: 30.27/89.40
  Frame 627: 30.28/89.42
  Frame 628: 30.31/89.24
  Frame 629: 30.33/89.18
  Frame 630: 30.33/88.84
  Frame 631: 30.32/88.50
  Frame 632: 30.35/88.26
  Frame 633: 30.35/87.95
  Frame 634: 30.35/87.75
  Frame 635: 30.36/87.57
  Frame 636: 30.35/87.38
  Frame 637: 30.32/86.89
  Frame 638: 30.31/86.98
  Frame 639: 30.32/86.90
  Frame 640: 30.31/86.89
  Frame 641: 30.30/86.74
  Frame 642: 30.30/86.61
  Frame 643: 30.26/86.10
  Frame 644: 30.27/85.91
  Frame 645: 30.27/85.69
  Frame 646: 30.29/85.49
  Frame 647: 30.27/85.44
  Frame 648: 30.28/85.13
  Frame 649: 30.28/84.95
  Frame 650: 30.29/84.67
  Frame 651: 30.28/84.67
  Frame 652: 30.30/84.27
  Frame 653: 30.29/84.28
  Frame 654: 30.28/84.30
  Frame 655: 30.28/84.18
  Frame 656: 30.29/83.93
  Frame 657: 30.30/83.79
  Frame 658: 30.30/83.77
  Frame 659: 30.30/83.69
  Frame 660: 30.28/83.88
  Frame 661: 30.30/83.73
  Frame 662: 30.31/83.68
  Frame 663: 30.30/83.79
  Frame 664: 30.31/84.07
  Frame 665: 30.32/84.01
  Frame 666: 30.34/83.91
  Frame 667: 30.36/84.27
  Frame 668: 30.38/84.26
  Frame 669: 30.39/84.35
  Frame 670: 30.41/84.39
  Frame 671: 30.43/84.55
  Frame 672: 30.45/84.68
  Frame 673: 30.47/84.86
  Frame 674: 30.51/84.85
  Frame 675: 30.52/84.94
  Frame 676: 30.52/85.06
  Frame 677: 30.53/85.13
  Frame 678: 30.53/85.06
  Frame 679: 30.50/85.40
  Frame 680: 30.52/85.51
  Frame 681: 30.53/85.59
  Frame 682: 30.54/85.65
  Frame 683: 30.55/85.73
  Frame 684: 30.53/85.84
  Frame 685: 30.52/85.95
  Frame 686: 30.51/86.13
  Frame 687: 30.52/86.26
  Frame 688: 30.50/86.47
  Frame 689: 30.51/86.40
  Frame 690: 30.52/86.55
  Frame 691: 30.47/86.48
  Frame 692: 30.47/86.59
  Frame 693: 30.42/86.77
  Frame 694: 30.35/86.70
  Frame 695: 30.34/86.71
  Frame 696: 30.31/86.72
  Frame 697: 30.26/86.58
  Frame 698: 30.24/86.54
  Frame 699: 30.23/86.56
  Frame 700: 30.20/86.52
  Frame 701: 30.20/86.29
  Frame 702: 30.15/86.13
  Frame 703: 30.15/85.99
  Frame 704: 30.13/85.90
  Frame 705: 30.13/85.68
  Frame 706: 30.11/85.55
  Frame 707: 30.13/85.31
  Frame 708: 30.10/85.30
  Frame 709: 30.08/85.25
  Frame 710: 30.06/84.93
  Frame 711: 30.03/84.98
  Frame 712: 30.04/84.75
  Frame 713: 30.02/84.40
  Frame 714: 30.00/84.13
  Frame 715: 29.96/84.19
  Frame 716: 29.95/84.18
  Frame 717: 29.97/83.91
  Frame 718: 29.93/83.81
  Frame 719: 29.91/83.76
  Frame 720: 29.90/84.08
  Frame 721: 29.88/84.05
  Frame 722: 29.87/84.02
  Frame 723: 29.85/84.04
  Frame 724: 29.86/83.94
  Frame 725: 29.85/83.91
  Frame 726: 29.84/84.01
  Frame 727: 29.83/83.93
  Frame 728: 29.83/83.88
  Frame 729: 29.82/83.89
  Frame 730: 29.82/83.87
  Frame 731: 29.81/83.91
  Frame 732: 29.81/83.95
  Frame 733: 29.80/84.01
  Frame 734: 29.80/84.11
  Frame 735: 29.81/84.07
  Frame 736: 29.81/84.10
  Frame 737: 29.81/84.10
  Frame 738: 29.81/84.16
  Frame 739: 29.81/84.21
  Frame 740: 29.81/84.30
  Frame 741: 29.82/84.34
  Frame 742: 29.82/84.40
  Frame 743: 29.82/84.42
  Frame 744: 29.82/84.46
  Frame 745: 29.83/84.48
  Frame 746: 29.83/84.54
  Frame 747: 29.83/84.56
  Frame 748: 29.84/84.55
  Frame 749: 29.84/84.56
  Frame 750: 29.85/84.56
  Frame 751: 29.85/84.63
  Frame 752: 29.86/84.57
  Frame 753: 29.85/84.59
  Frame 754: 29.85/84.52
  Frame 755: 29.84/84.51
  Frame 756: 29.83/84.43
  Frame 757: 29.82/84.42
  Frame 758: 29.80/84.40
  Frame 759: 29.77/84.35
  Frame 760: 29.76/84.14
  Frame 761: 29.76/84.20
  Frame 762: 29.75/84.36
  Frame 763: 29.73/84.21
  Frame 764: 29.72/84.03
  Frame 765: 29.73/84.04
  Frame 766: 29.73/84.02
  Frame 767: 29.75/83.90
  Frame 768: 29.75/83.97
  Frame 769: 29.78/84.05
  Frame 770: 29.78/84.10
  Frame 771: 29.82/83.99
  Frame 772: 29.84/83.88
  Frame 773: 29.87/83.96
  Frame 774: 29.90/84.10
  Frame 775: 29.94/84.05
  Frame 776: 29.94/84.20
  Frame 777: 29.97/84.17
  Frame 778: 29.97/84.47
  Frame 779: 30.02/84.15
  Frame 780: 30.02/84.31
  Frame 781: 30.05/84.28
  Frame 782: 30.08/84.22
  Frame 783: 30.08/84.39
  Frame 784: 30.12/84.29
  Frame 785: 30.11/84.23
  Frame 786: 30.14/84.09
  Frame 787: 30.15/84.06
  Frame 788: 30.16/84.04
  Frame 789: 30.16/84.03
  Frame 790: 30.18/84.01
  Frame 791: 30.23/83.97
  Frame 792: 30.25/84.00
  Frame 793: 30.24/84.19
  Frame 794: 30.28/84.15
  Frame 795: 30.29/84.16
  Frame 796: 30.31/84.15
  Frame 797: 30.33/84.22
  Frame 798: 30.35/84.26
  Frame 799: 30.39/84.06
  Frame 800: 30.38/84.13
  Frame 801: 30.41/84.01
  Frame 802: 30.43/84.02
  Frame 803: 30.43/84.02
  Frame 804: 30.45/84.14
  Frame 805: 30.46/84.27
  Frame 806: 30.48/84.26
  Frame 807: 30.51/84.09
  Frame 808: 30.52/84.18
  Frame 809: 30.54/84.33
  Frame 810: 30.54/84.42
  Frame 811: 30.57/84.24
  Frame 812: 30.57/84.47
  Frame 813: 30.58/84.62
  Frame 814: 30.58/84.70
  Frame 815: 30.59/84.73
  Frame 816: 30.62/84.49
  Frame 817: 30.61/84.46
  Frame 818: 30.62/84.44
  Frame 819: 30.64/84.41
  Frame 820: 30.65/84.34
  Frame 821: 30.65/84.49
  Frame 822: 30.67/84.68
  Frame 823: 30.69/84.68
  Frame 824: 30.69/84.89
  Frame 825: 30.72/85.06
  Frame 826: 30.75/85.25
  Frame 827: 30.73/85.32
  Frame 828: 30.78/85.57
  Frame 829: 30.80/85.79
  Frame 830: 30.80/85.77
  Frame 831: 30.79/86.07
  Frame 832: 30.79/86.26
  Frame 833: 30.79/86.37
  Frame 834: 30.79/86.82
  Frame 835: 30.77/86.60
  Frame 836: 30.79/86.63
  Frame 837: 30.85/86.93
  Frame 838: 30.80/87.10
  Frame 839: 30.83/86.90
  Frame 840: 30.83/86.64
  Frame 841: 30.74/86.72
  Frame 842: 30.73/86.90
  Frame 843: 30.68/86.97
  Frame 844: 30.62/86.46
  Frame 845: 30.57/86.71
  Frame 846: 30.56/86.13
  Frame 847: 30.52/85.93
  Frame 848: 30.53/85.73
  Frame 849: 30.52/85.72
  Frame 850: 30.50/85.39
  Frame 851: 30.51/85.40
  Frame 852: 30.50/85.27
  Frame 853: 30.54/85.27
  Frame 854: 30.53/85.24
  Frame 855: 30.54/85.13
  Frame 856: 30.54/84.99
  Frame 857: 30.55/84.97
  Frame 858: 30.55/84.92
  Frame 859: 30.54/84.89
  Frame 860: 30.54/84.81
  Frame 861: 30.51/84.85
  Frame 862: 30.49/84.80
  Frame 863: 30.49/84.83
  Frame 864: 30.49/84.81
  Frame 865: 30.49/84.75
  Frame 866: 30.48/84.77
  Frame 867: 30.48/84.75
  Frame 868: 30.47/84.70
  Frame 869: 30.46/84.75
  Frame 870: 30.46/84.74
  Frame 871: 30.45/84.64
  Frame 872: 30.44/84.63
  Frame 873: 30.44/84.56
  Frame 874: 30.44/84.49
  Frame 875: 30.44/84.46
  Frame 876: 30.44/84.43
  Frame 877: 30.44/84.43
  Frame 878: 30.45/84.34
  Frame 879: 30.44/84.33
  Frame 880: 30.45/84.25
  Frame 881: 30.45/84.23
  Frame 882: 30.45/84.26
  Frame 883: 30.45/84.27
  Frame 884: 30.45/84.28
  Frame 885: 30.44/84.28
  Frame 886: 30.43/84.36
  Frame 887: 30.43/84.36
  Frame 888: 30.42/84.38
  Frame 889: 30.42/84.40
  Frame 890: 30.41/84.50
  Frame 891: 30.41/84.50
  Frame 892: 30.41/84.50
  Frame 893: 30.40/84.53
  Frame 894: 30.40/84.59
  Frame 895: 30.40/84.69
  Frame 896: 30.40/84.72
  Frame 897: 30.40/84.80
  Frame 898: 30.40/84.79
  Frame 899: 30.40/84.88
  Frame 900: 30.41/84.78
  Frame 901: 30.42/84.79
  Frame 902: 30.41/84.86
  Frame 903: 30.41/84.98
  Frame 904: 30.41/84.97
  Frame 905: 30.41/84.90
  Frame 906: 30.39/85.09
  Frame 907: 30.39/85.20
  Frame 908: 30.38/85.21
  Frame 909: 30.36/85.36
  Frame 910: 30.35/85.39
  Frame 911: 30.35/85.26
  Frame 912: 30.31/85.34
  Frame 913: 30.30/85.22
  Frame 914: 30.26/85.17
  Frame 915: 30.23/85.17
  Frame 916: 30.21/84.93
  Frame 917: 30.19/84.84
  Frame 918: 30.16/84.74
  Frame 919: 30.14/84.52
  Frame 920: 30.12/84.17
  Frame 921: 30.08/83.94
  Frame 922: 30.06/83.81
  Frame 923: 30.03/83.68
  Frame 924: 30.00/83.56
  Frame 925: 30.01/83.13
  Frame 926: 29.98/83.01
  Frame 927: 29.98/82.58
  Frame 928: 29.92/82.54
  Frame 929: 29.89/82.46
  Frame 930: 29.87/82.28
  Frame 931: 29.85/82.02
  Frame 932: 29.84/81.72
  Frame 933: 29.81/81.68
  Frame 934: 29.79/81.50
  Frame 935: 29.78/81.47
  Frame 936: 29.78/81.29
  Frame 937: 29.75/81.20
  Frame 938: 29.75/81.14
  Frame 939: 29.73/81.02
  Frame 940: 29.74/80.72
  Frame 941: 29.73/80.68
  Frame 942: 29.74/80.48
  Frame 943: 29.74/80.25
  Frame 944: 29.72/80.32
  Frame 945: 29.71/80.25
  Frame 946: 29.70/80.16
  Frame 947: 29.66/80.37
  Frame 948: 29.67/80.08
  Frame 949: 29.66/80.08
  Frame 950: 29.65/79.84
  Frame 951: 29.63/79.92
  Frame 952: 29.63/79.77
  Frame 953: 29.61/79.92
  Frame 954: 29.67/79.61
  Frame 955: 29.64/79.68
  Frame 956: 29.66/79.59
  Frame 957: 29.63/79.73
  Frame 958: 29.67/79.66
  Frame 959: 29.66/79.88
  Frame 960: 29.66/79.85
  Frame 961: 29.66/79.99
  Frame 962: 29.65/80.08
  Frame 963: 29.65/80.19
  Frame 964: 29.67/80.09
  Frame 965: 29.68/80.10
  Frame 966: 29.66/80.28
  Frame 967: 29.66/80.47
  Frame 968: 29.65/80.47
  Frame 969: 29.64/80.59
  Frame 970: 29.65/80.79
  Frame 971: 29.65/80.83
  Frame 972: 29.66/80.89
  Frame 973: 29.66/81.04
  Frame 974: 29.65/81.22
  Frame 975: 29.65/81.37
  Frame 976: 29.66/81.41
  Frame 977: 29.72/81.26
  Frame 978: 29.71/81.34
  Frame 979: 29.69/81.31
  Frame 980: 29.69/81.30
  Frame 981: 29.69/81.38
  Frame 982: 29.69/81.32
  Frame 983: 29.65/81.31
  Frame 984: 29.62/81.46
  Frame 985: 29.65/81.23
  Frame 986: 29.66/81.07
  Frame 987: 29.70/81.01
  Frame 988: 29.76/80.92
  Frame 989: 29.81/80.90
  Frame 990: 29.85/80.88
  Frame 991: 29.88/80.74
  Frame 992: 29.89/80.66
  Frame 993: 29.92/80.65
  Frame 994: 29.93/80.61
  Frame 995: 29.98/80.62
  Frame 996: 29.93/80.74
  Frame 997: 29.93/80.64
  Frame 998: 29.90/80.70
  Frame 999: 29.89/80.70
  Frame 1000: 29.89/80.58
  Frame 1001: 29.86/80.49
  Frame 1002: 29.85/80.46
  Frame 1003: 29.85/80.48
  Frame 1004: 29.85/80.61
  Frame 1005: 29.84/80.69
  Frame 1006: 29.83/80.79
  Frame 1007: 29.83/80.74
  Frame 1008: 29.82/80.77
  Frame 1009: 29.81/80.77
  Frame 1010: 29.80/80.95
  Frame 1011: 29.79/80.99
  Frame 1012: 29.79/81.08
  Frame 1013: 29.79/81.11
  Frame 1014: 29.79/81.23
  Frame 1015: 29.78/81.26
  Frame 1016: 29.79/81.33
  Frame 1017: 29.79/81.39
  Frame 1018: 29.79/81.43
  Frame 1019: 29.79/81.58
  Frame 1020: 29.78/81.71
  Frame 1021: 29.78/81.83
  Frame 1022: 29.77/81.92
  Frame 1023: 29.77/82.02
  Frame 1024: 29.78/82.11
  Frame 1025: 29.78/82.19
  Frame 1026: 29.78/82.35
  Frame 1027: 29.77/82.47
  Frame 1028: 29.77/82.58
  Frame 1029: 29.77/82.68
  Frame 1030: 29.76/82.78
  Frame 1031: 29.76/82.92
  Frame 1032: 29.75/83.06
  Frame 1033: 29.75/83.16
  Frame 1034: 29.75/83.31
  Frame 1035: 29.75/83.40
  Frame 1036: 29.76/83.52
  Frame 1037: 29.77/83.68
  Frame 1038: 29.80/83.74
  Frame 1039: 29.84/83.75
  Frame 1040: 29.85/83.88
  Frame 1041: 29.90/83.93
  Frame 1042: 29.94/84.02
  Frame 1043: 29.99/84.08
  Frame 1044: 30.04/84.20
  Frame 1045: 30.09/84.26
  Frame 1046: 30.14/84.31
  Frame 1047: 30.17/84.31
  Frame 1048: 30.22/84.35
  Frame 1049: 30.28/84.42
  Frame 1050: 30.30/84.50
  Frame 1051: 30.30/84.23
  Frame 1052: 30.31/84.33
  Frame 1053: 30.35/84.12
  Frame 1054: 30.35/83.83
  Frame 1055: 30.40/83.97
  Frame 1056: 30.45/84.18
  Frame 1057: 30.44/83.99
  Frame 1058: 30.45/83.94
  Frame 1059: 30.45/83.68
  Frame 1060: 30.47/83.89
  Frame 1061: 30.48/83.66
  Frame 1062: 30.47/83.69
  Frame 1063: 30.49/83.44
  Frame 1064: 30.52/83.29
  Frame 1065: 30.53/83.37
  Frame 1066: 30.51/83.20
  Frame 1067: 30.49/83.06
  Frame 1068: 30.45/82.49
  Frame 1069: 30.45/81.91
  Frame 1070: 30.44/81.56
  Frame 1071: 30.38/81.12
  Frame 1072: 30.36/80.84
  Frame 1073: 30.33/80.80
  Frame 1074: 30.32/80.67
  Frame 1075: 30.28/80.07
  Frame 1076: 30.23/79.63
  Frame 1077: 30.20/79.54
  Frame 1078: 30.20/79.55
  Frame 1079: 30.13/79.58
  Frame 1080: 30.12/79.94
  Frame 1081: 30.10/79.77
  Frame 1082: 30.06/79.67
  Frame 1083: 30.02/79.63
  Frame 1084: 29.97/79.31
  Frame 1085: 29.93/79.70
  Frame 1086: 29.91/79.62
  Frame 1087: 29.88/79.64
  Frame 1088: 29.85/79.53
  Frame 1089: 29.81/79.73
  Frame 1090: 29.80/79.89
  Frame 1091: 29.80/79.97
  Frame 1092: 29.75/79.93
  Frame 1093: 29.72/79.99
  Frame 1094: 29.69/79.89
  Frame 1095: 29.64/79.82
  Frame 1096: 29.60/79.81
  Frame 1097: 29.56/79.83
  Frame 1098: 29.54/80.02
  Frame 1099: 29.52/80.08
  Frame 1100: 29.49/80.12
  Frame 1101: 29.48/80.24
  Frame 1102: 29.50/80.19
  Frame 1103: 29.47/80.06
  Frame 1104: 29.42/80.09
  Frame 1105: 29.39/79.99
  Frame 1106: 29.39/79.85
  Frame 1107: 29.28/79.85
  Frame 1108: 29.24/79.80
  Frame 1109: 29.20/79.69
  Frame 1110: 29.23/79.73
  Frame 1111: 29.18/79.69
  Frame 1112: 29.18/79.66
  Frame 1113: 29.18/79.47
  Frame 1114: 29.14/79.44
  Frame 1115: 29.14/79.57
  Frame 1116: 29.14/79.37
  Frame 1117: 29.13/79.46
  Frame 1118: 29.09/79.43
  Frame 1119: 29.11/79.32
  Frame 1120: 29.11/79.46
  Frame 1121: 29.12/79.55
  Frame 1122: 29.13/79.40
  Frame 1123: 29.14/79.34
  Frame 1124: 29.11/79.38
  Frame 1125: 29.13/79.43
  Frame 1126: 29.16/79.48
  Frame 1127: 29.18/79.53
  Frame 1128: 29.23/79.58
  Frame 1129: 29.25/79.45
  Frame 1130: 29.27/79.54
  Frame 1131: 29.30/79.43
  Frame 1132: 29.31/79.50
  Frame 1133: 29.34/79.49
  Frame 1134: 29.36/79.46
  Frame 1135: 29.37/79.40
  Frame 1136: 29.39/79.40
  Frame 1137: 29.41/79.38
  Frame 1138: 29.43/79.38
  Frame 1139: 29.45/79.38
  Frame 1140: 29.46/79.43
  Frame 1141: 29.49/79.42
  Frame 1142: 29.50/79.34
  Frame 1143: 29.50/79.34
  Frame 1144: 29.53/79.37
  Frame 1145: 29.54/79.44
  Frame 1146: 29.57/79.45
  Frame 1147: 29.57/79.40
  Frame 1148: 29.57/79.40
  Frame 1149: 29.58/79.40
  Frame 1150: 29.57/79.40
  Frame 1151: 29.59/79.45
  Frame 1152: 29.59/79.47
  Frame 1153: 29.60/79.50
  Frame 1154: 29.61/79.50
  Frame 1155: 29.63/79.39
  Frame 1156: 29.65/79.36
  Frame 1157: 29.65/79.36
  Frame 1158: 29.67/79.37
  Frame 1159: 29.65/79.36
  Frame 1160: 29.66/79.32
  Frame 1161: 29.68/79.31
  Frame 1162: 29.67/79.33
  Frame 1163: 29.67/79.32
  Frame 1164: 29.67/79.33
  Frame 1165: 29.67/79.39
  Frame 1166: 29.68/79.38
  Frame 1167: 29.67/79.41
  Frame 1168: 29.67/79.43
  Frame 1169: 29.66/79.44
  Frame 1170: 29.66/79.42
  Frame 1171: 29.66/79.43
  Frame 1172: 29.66/79.40
  Frame 1173: 29.66/79.38
  Frame 1174: 29.66/79.39
  Frame 1175: 29.66/79.40
  Frame 1176: 29.66/79.42
  Frame 1177: 29.66/79.35
  Frame 1178: 29.66/79.32
  Frame 1179: 29.66/79.31
  Frame 1180: 29.65/79.30
  Frame 1181: 29.65/79.28
  Frame 1182: 29.65/79.29
  Frame 1183: 29.64/79.31
  Frame 1184: 29.64/79.29
  Frame 1185: 29.64/79.32
  Frame 1186: 29.65/79.33
  Frame 1187: 29.65/79.27
  Frame 1188: 29.65/79.26
  Frame 1189: 29.65/79.28
  Frame 1190: 29.66/79.31
  Frame 1191: 29.67/79.29
  Frame 1192: 29.67/79.31
  Frame 1193: 29.68/79.30
  Frame 1194: 29.68/79.32
  Frame 1195: 29.70/79.32
  Frame 1196: 29.70/79.33
  Frame 1197: 29.71/79.36
  Frame 1198: 29.72/79.37
  Frame 1199: 29.72/79.36
  Frame 1200: 29.72/79.40
  Frame 1201: 29.72/79.40
  Frame 1202: 29.73/79.44
  Frame 1203: 29.73/79.42
  Frame 1204: 29.73/79.45
  Frame 1205: 29.73/79.44
  Frame 1206: 29.73/79.45
  Frame 1207: 29.73/79.47
  Frame 1208: 29.73/79.46
  Frame 1209: 29.73/79.49
  Frame 1210: 29.72/79.49
  Frame 1211: 29.73/79.48
  Frame 1212: 29.73/79.47
  Frame 1213: 29.73/79.49
  Frame 1214: 29.73/79.41
  Frame 1215: 29.73/79.47
  Frame 1216: 29.73/79.41
  Frame 1217: 29.73/79.41
  Frame 1218: 29.72/79.40
  Frame 1219: 29.72/79.41
  Frame 1220: 29.72/79.39
  Frame 1221: 29.72/79.34
  Frame 1222: 29.72/79.34
  Frame 1223: 29.72/79.36
  Frame 1224: 29.72/79.32
  Frame 1225: 29.71/79.37
  Frame 1226: 29.72/79.29
  Frame 1227: 29.71/79.33
  Frame 1228: 29.71/79.32
  Frame 1229: 29.71/79.34
  Frame 1230: 29.70/79.34
  Frame 1231: 29.71/79.25
  Frame 1232: 29.70/79.25
  Frame 1233: 29.70/79.30
  Frame 1234: 29.70/79.30
  Frame 1235: 29.70/79.31
  Frame 1236: 29.70/79.30
  Frame 1237: 29.69/79.31
  Frame 1238: 29.69/79.30
  Frame 1239: 29.69/79.30
  Frame 1240: 29.68/79.32
  Frame 1241: 29.68/79.31
  Frame 1242: 29.68/79.32
  Frame 1243: 29.68/79.32
  Frame 1244: 29.67/79.34
  Frame 1245: 29.67/79.37
  Frame 1246: 29.67/79.38
  Frame 1247: 29.67/79.37
  Frame 1248: 29.66/79.40
  Frame 1249: 29.66/79.42
  Frame 1250: 29.66/79.44
  Frame 1251: 29.66/79.45
  Frame 1252: 29.66/79.48
  Frame 1253: 29.66/79.49
  Frame 1254: 29.66/79.50
  Frame 1255: 29.66/79.51
  Frame 1256: 29.66/79.53
  Frame 1257: 29.66/79.52
  Frame 1258: 29.66/79.50
  Frame 1259: 29.66/79.54
  Frame 1260: 29.66/79.52
  Frame 1261: 29.66/79.48
  Frame 1262: 29.65/79.51
  Frame 1263: 29.65/79.51
  Frame 1264: 29.66/79.46
  Frame 1265: 29.65/79.47
  Frame 1266: 29.66/79.41
  Frame 1267: 29.65/79.43
  Frame 1268: 29.65/79.41
  Frame 1269: 29.66/79.42
  Frame 1270: 29.66/79.40
  Frame 1271: 29.66/79.40
  Frame 1272: 29.66/79.38
  Frame 1273: 29.66/79.40
  Frame 1274: 29.67/79.39
  Frame 1275: 29.67/79.40
  Frame 1276: 29.67/79.41
  Frame 1277: 29.68/79.39
  Frame 1278: 29.68/79.39
  Frame 1279: 29.69/79.38
  Frame 1280: 29.69/79.39
  Frame 1281: 29.69/79.38
  Frame 1282: 29.69/79.40
  Frame 1283: 29.69/79.39
  Frame 1284: 29.69/79.38
  Frame 1285: 29.69/79.37
  Frame 1286: 29.69/79.38
  Frame 1287: 29.69/79.37
  Frame 1288: 29.69/79.33
  Frame 1289: 29.68/79.38
  Frame 1290: 29.67/79.39
  Frame 1291: 29.67/79.41
  Frame 1292: 29.67/79.45
  Frame 1293: 29.66/79.39
  Frame 1294: 29.65/79.40
  Frame 1295: 29.65/79.40
  Frame 1296: 29.64/79.37
  Frame 1297: 29.65/79.37
  Frame 1298: 29.64/79.37
  Frame 1299: 29.63/79.43
  Frame 1300: 29.64/79.46
  Frame 1301: 29.66/79.44
  Frame 1302: 29.69/79.40
  Frame 1303: 29.67/79.43
  Frame 1304: 29.63/79.44
  Frame 1305: 29.65/79.41
  Frame 1306: 29.61/79.31
  Frame 1307: 29.60/79.33
  Frame 1308: 29.61/79.38
  Frame 1309: 29.60/79.36
  Frame 1310: 29.57/79.31
  Frame 1311: 29.53/79.31
  Frame 1312: 29.55/79.36
  Frame 1313: 29.53/79.26
  Frame 1314: 29.51/79.33
  Frame 1315: 29.52/79.31
  Frame 1316: 29.51/79.21
  Frame 1317: 29.46/79.28
  Frame 1318: 29.46/79.16
  Frame 1319: 29.45/79.21
  Frame 1320: 29.46/79.26
  Frame 1321: 29.45/79.36
  Frame 1322: 29.50/79.16
  Frame 1323: 29.41/79.25
  Frame 1324: 29.48/79.23
  Frame 1325: 29.52/79.26
  Frame 1326: 29.50/79.23
  Frame 1327: 29.57/79.30
  Frame 1328: 29.55/79.27
  Frame 1329: 29.55/79.33
  Frame 1330: 29.58/79.17
  Frame 1331: 29.63/79.18
  Frame 1332: 29.60/79.26
  Frame 1333: 29.64/79.26
  Frame 1334: 29.63/79.29
  Frame 1335: 29.68/79.21
  Frame 1336: 29.72/79.28
  Frame 1337: 29.67/79.10
  Frame 1338: 29.72/79.26
  Frame 1339: 29.70/79.40
  Frame 1340: 29.74/79.32
  Frame 1341: 29.68/79.22
  Frame 1342: 29.71/79.18
  Frame 1343: 29.68/79.28
  Frame 1344: 29.77/79.34
  Frame 1345: 29.72/79.68
  Frame 1346: 29.70/80.05
  Frame 1347: 29.68/80.14
  Frame 1348: 29.69/80.44
  Frame 1349: 29.73/80.78
  Frame 1350: 29.69/80.95
  Frame 1351: 29.72/80.86
  Frame 1352: 29.83/80.82
  Frame 1353: 29.68/80.31
  Frame 1354: 29.74/80.31
  Frame 1355: 29.69/80.18
  Frame 1356: 29.69/80.07
  Frame 1357: 29.72/79.81
  Frame 1358: 29.70/79.66
  Frame 1359: 29.66/79.39
  Frame 1360: 29.73/79.21
  Frame 1361: 29.68/78.74
  Frame 1362: 29.73/78.64
